month	order_no	product_no	quantity	location
12	2708550515	2988522095	1	45-2-4
12	2708550515	3665935423	1	47-10-2
12	3598058469	2422529702	2	12-17-6
12	3598058469	2517877695	1	54-8-2
12	1333744223	2940661018	1	45-6-5
12	3753922510	224799812	1	11-10-6
12	3355506365	3812209818	1	15-21-1
12	638490513	3552945483	1	15-59-4
12	1359587079	2981835273	2	14-51-6
12	1359587079	2662713529	1	14-57-6
12	1359587079	2743725402	1	22-21-2
12	1359587079	2766416195	1	15-61-2
12	3093955122	3707518731	1	50-26-3
12	3093955122	1716804817	1	21-10-3
12	3093955122	290679879	1	22-29-2
12	3093955122	2402810340	1	19-28-3
12	560157576	3892828020	1	17-6-4
12	560157576	1140970149	1	16-4-1
12	560157576	2835473147	1	11-38-3
12	2984005145	254122271	1	15-57-5
12	3336273551	3116136929	1	15-22-8
12	3336273551	310594265	1	22-28-2
12	3336273551	1621073466	3	19-55-3
12	3336273551	3112221986	2	13-40-5
12	950000356	1081462756	1	13-13-4
12	950000356	163227908	1	13-40-8
12	950000356	3671659577	1	11-48-6
12	950000356	2917016751	1	11-48-8
12	950000356	1761416768	1	11-38-2
12	950000356	2498537750	1	14-23-7
12	2710997854	1505888328	1	56-27-2
12	2710997854	127107736	1	19-28-3
12	2710997854	2364720377	1	56-18-2
12	2710997854	421855166	1	57-25-2
12	2710997854	2708486420	1	11-51-4
12	2710997854	4004550520	1	13-42-6
12	2710997854	590204030	1	19-43-3
12	1335421554	794283765	1	47-11-2
12	1335421554	3243880409	1	14-53-5
12	1224027755	3045980869	1	15-13-2
12	1224027755	3777755187	1	14-64-4
12	1072832253	2306260499	1	15-53-5
12	1072832253	1531092826	1	14-49-7
12	2801487687	2517877695	2	54-8-2
12	3522985937	474901645	1	47-8-3
12	3522985937	276819881	1	14-47-9
12	910447318	983833292	3	54-5-2
12	910447318	2216815133	2	53-32-2
12	910447318	4098563730	1	53-28-1
12	562359205	921105436	4	11-15-2
12	1094935104	3026358747	8	16-8-3
12	1094935104	1805392525	1	16-8-3
12	1094935104	870406686	1	18-2-6
12	3481963145	233247983	1	17-45-3
12	1451481907	1896866592	2	50-20-2
12	1451481907	163511200	1	14-20-4
12	1451481907	328309643	1	12-18-2
12	1451481907	3861324241	2	22-19-2
12	1451481907	2434797895	2	21-12-3
12	1451481907	632157446	1	12-7-6
12	1451481907	1466810486	1	13-8-4
12	1451481907	2158512326	10	1-30-2
12	1451481907	305466118	2	1-32-3
12	1451481907	2335988412	2	11-26-9
12	3096295967	1772132564	1	15-45-4
12	3096295967	689919035	1	15-31-2
12	3096295967	2120478334	1	55-15-2
12	3096295967	112836497	1	15-5-2
12	3096295967	3537232486	1	45-4-4
12	1374560042	3521200065	1	15-9-4
12	1374560042	2496687573	1	14-62-2
12	1374560042	1578656941	2	15-60-4
